Model,GNB,DT,SVM,GB
128,0,0,0,0
129,0,0,0,0
130,0,0,0,1
131,0,0,0,0
132,1,0,0,0
133,0,0,0,0
134,0,0,0,0
135,0,0,0,0
136,0,0,0,0
137,0,0,0,0
138,0,0,0,0
139,0,0,0,0
140,0,0,1,0
141,0,0,0,0
142,1,1,0,0
143,1,0,0,0
144,1,0,1,0
145,0,0,0,0
146,0,0,0,0
147,0,0,0,0
148,0,0,1,0
149,1,0,0,0
150,0,0,0,0
151,0,0,0,0
152,0,0,0,0
153,0,0,0,0
154,0,0,0,0
155,0,0,0,0
156,0,0,0,0
157,0,0,0,0
158,1,1,0,0
159,0,0,0,0
160,0,0,0,0
161,0,0,0,0
162,0,0,0,0
163,0,0,0,0
164,0,0,0,0
165,0,0,0,0
166,0,0,0,0
167,0,0,0,0
168,1,0,0,0
169,0,0,0,0
170,0,0,0,0
171,1,1,0,0
172,0,0,0,0
173,0,0,0,0
174,0,0,0,0
175,1,0,0,0
176,1,1,0,0
177,0,0,0,0
178,0,0,0,0
179,0,0,0,0
180,1,0,0,0
181,0,0,0,0
182,0,0,1,0
183,0,0,0,0
184,1,0,0,0
185,0,0,0,0
186,0,0,0,0
187,0,0,0,0
188,1,0,0,0
189,0,0,0,0
190,0,0,0,0
191,0,0,0,0
192,1,0,0,0
193,0,0,0,0
194,0,0,0,0
195,0,0,0,0
196,0,0,0,0
197,1,0,0,0
198,0,0,0,0
199,0,0,0,0
200,0,0,1,0
201,0,0,0,0
202,1,0,0,0
203,0,0,0,0
204,1,0,0,0
205,0,0,0,0
206,0,0,0,0
207,0,0,0,0
208,0,0,0,0
209,1,1,0,1
210,0,0,0,0
211,0,0,0,0
212,1,0,0,0
213,0,0,0,0
214,0,0,0,0
215,0,0,0,0
216,0,0,0,0
217,0,0,0,0
218,0,0,0,0
219,0,0,0,0
220,0,0,0,0
221,0,0,0,0
222,1,0,0,0
223,1,0,0,0
224,0,0,0,0
225,0,0,0,0
226,0,0,0,0
227,1,0,0,0
228,0,0,0,0
229,0,0,0,0
230,0,0,0,0
231,1,0,0,0
232,0,0,0,0
233,1,0,0,0
234,1,0,0,0
235,0,0,0,0
236,1,0,0,0
237,0,0,0,0
238,1,0,0,0
239,0,0,0,0
240,0,0,0,0
241,0,0,1,0
242,0,0,0,0
243,0,0,0,0
244,1,0,0,0
245,0,0,0,0
246,0,0,0,0
247,0,0,0,0
248,0,1,0,0
249,0,0,0,0
250,0,0,0,0
251,0,0,1,0
252,0,0,0,0
253,1,1,0,1
254,1,0,0,0
255,1,0,0,0
256,0,0,0,0
257,1,1,0,1
258,0,0,0,0
259,1,1,0,1
260,1,1,0,1
261,0,1,0,1
262,1,0,1,0
263,0,0,0,0
264,0,0,0,0
265,0,0,0,0
266,0,0,0,0
267,0,0,0,0
268,0,0,0,0
269,0,0,0,0
270,0,0,0,0
271,1,0,0,0
272,0,0,0,0
273,1,0,0,0
274,1,0,0,0
275,0,0,0,0
276,0,0,0,0
277,0,0,0,0
278,0,0,0,0
279,0,0,0,0
280,0,0,0,0
281,0,0,0,0
282,0,0,0,0
283,0,0,0,0
284,0,0,0,0
285,0,0,0,0
286,0,0,0,0
287,1,0,0,1
288,1,0,0,0
289,0,0,0,0
290,1,0,0,0
291,1,1,0,0
292,0,1,0,1
293,1,1,0,1
294,0,0,0,0
295,1,0,0,0
296,0,0,0,0
297,1,1,0,1
298,0,0,0,0
299,0,0,0,0
300,0,0,0,0
301,0,0,0,0
302,1,0,1,0
303,1,0,0,1
304,0,0,0,0
305,1,0,0,0
306,1,0,0,0
307,1,1,1,1
308,0,0,0,0
309,1,0,0,0
310,0,0,0,0
311,0,0,0,0
312,0,0,0,0
313,0,0,0,0
314,0,0,0,0
315,0,0,0,0
316,0,0,0,0
317,0,0,0,0
318,0,0,0,0
319,0,0,0,0
320,1,0,0,0
321,0,0,0,0
322,1,0,0,0
323,1,1,0,1
324,1,1,0,0
325,0,0,0,0
326,0,0,0,0
327,0,0,0,1
328,0,0,0,0
329,0,0,0,0
330,0,0,0,0
331,1,1,1,0
332,1,0,0,0
333,0,0,0,0
334,0,0,0,0
335,1,1,0,0
336,0,0,0,0
337,0,0,0,0
338,1,1,1,1
339,1,0,0,0
340,0,0,0,0
341,0,0,0,0
342,0,0,0,0
343,1,0,0,0
344,0,0,0,0
345,0,0,0,0
346,1,0,0,1
347,0,0,1,0
348,1,1,0,0
349,1,1,1,1
350,1,1,0,1
351,0,0,0,0
352,0,0,0,0
353,0,0,0,0
354,1,0,0,0
355,0,0,0,0
356,1,1,1,0
357,0,0,0,0
358,0,0,0,0
359,0,0,0,0
360,0,0,0,0
361,1,0,0,0
362,0,0,0,0
363,0,0,0,0
364,0,0,0,0
365,0,0,0,0
366,0,0,0,0
367,1,0,0,0
368,0,0,0,0
369,0,0,0,0
370,1,0,1,0
371,0,0,0,0
372,0,0,0,0
373,0,0,0,0
374,0,0,1,0
375,0,0,0,0
376,0,0,1,0
377,1,0,0,1
378,1,0,0,0
379,1,0,0,0
380,0,0,0,0
381,0,0,0,0
382,1,1,0,1
383,1,1,1,1
384,1,0,0,0
385,0,0,0,0
386,0,0,0,0
387,0,1,0,0
388,0,0,0,0
389,0,0,1,0
390,0,0,0,0
391,0,0,0,0
392,0,0,0,0
393,0,0,0,0
394,0,0,0,0
395,0,0,0,0
396,0,0,0,0
397,0,0,0,0
398,0,0,0,0
399,1,0,0,0
400,1,0,0,0
401,0,0,0,0
402,0,0,1,0
403,1,0,0,0
404,0,0,1,0
405,1,0,0,0
406,1,0,0,0
407,1,0,0,0
408,0,0,0,0
409,0,0,0,0
410,0,0,0,0
411,0,0,0,0
412,0,0,0,0
413,0,0,0,0
414,0,0,0,0
415,0,0,0,0
416,1,1,0,0
417,0,0,0,0
418,1,1,0,1
419,0,0,0,0
420,1,0,0,0
421,1,1,0,1
422,0,0,0,0
423,0,0,0,0
424,0,0,0,0
425,0,0,0,0
426,0,0,0,0
427,0,0,0,0
428,1,0,0,0
429,0,0,0,0
430,0,0,0,0
431,1,0,0,0
432,1,0,0,0
433,0,0,0,0
434,0,0,0,0
435,0,0,0,0
436,0,0,0,0
437,0,0,0,0
438,0,0,0,0
439,0,0,0,0
440,1,0,0,0
441,0,0,0,1
442,0,0,0,0
443,0,0,0,0
444,0,0,0,0
445,0,0,0,0
446,1,1,0,1
447,0,0,0,0
448,0,0,0,0
449,1,1,1,0
450,0,0,0,0
451,0,0,0,0
452,0,0,0,0
453,0,1,0,0
454,0,0,0,0
455,0,0,0,0
456,1,0,0,0
457,0,0,0,0
458,1,0,0,0
459,0,0,0,0
460,1,0,0,1
461,0,0,0,0
462,0,1,0,0
463,0,0,0,0
464,0,0,0,0
465,0,0,0,0
466,0,0,1,0
467,1,0,0,0
468,0,0,0,0
469,0,0,0,0
470,0,0,0,0
471,1,1,0,1
472,0,0,0,0
473,0,0,0,0
474,0,0,0,0
475,1,1,0,1
476,0,0,0,0
477,1,0,0,0
478,1,1,0,1
479,0,0,0,0
480,0,0,0,0
481,0,0,0,0
482,0,0,0,0
483,1,0,0,0
484,0,0,0,0
485,1,0,0,0
486,0,0,0,0
487,0,0,0,0
488,0,0,0,0
489,0,0,0,0
490,1,0,0,0
491,1,1,0,1
492,0,0,0,0
493,0,0,0,0
494,0,0,0,0
495,0,0,0,0
496,0,0,0,0
497,0,0,0,0
498,0,0,0,0
499,0,0,0,0
500,0,0,0,0
501,0,0,0,0
502,0,0,0,0
503,0,0,0,0
504,0,0,0,0
505,0,0,0,0
506,1,0,0,1
507,0,0,0,0
508,0,0,1,0
509,0,0,1,0
510,0,0,0,0
511,0,0,0,0
512,0,0,0,0
513,0,0,0,0
514,0,0,0,0
515,0,0,0,0
516,0,0,0,0
517,0,0,0,0
518,1,0,0,0
519,1,0,0,1
520,1,0,0,0
521,0,0,0,0
522,1,1,1,1
523,1,0,0,0
524,0,0,0,0
525,0,0,0,0
526,0,0,0,0
527,0,0,0,0
528,0,0,0,0
529,0,0,0,0
530,0,0,0,0
531,1,0,0,0
532,1,0,0,1
533,0,0,0,0
534,0,0,0,0
535,0,0,0,0
536,0,0,0,0
537,0,0,0,0
538,0,0,0,0
539,0,0,0,0
540,0,0,0,0
541,0,0,0,0
542,0,0,1,0
543,0,0,0,0
544,0,0,0,0
545,1,0,0,0
546,1,0,0,0
547,0,0,0,0
548,1,0,0,0
549,0,0,0,0
550,0,0,0,0
551,0,0,0,0
552,0,0,0,0
553,0,0,0,0
554,0,0,0,0
555,0,0,0,0
556,0,0,0,0
557,1,0,0,1
558,1,0,0,0
559,0,0,0,0
560,0,0,0,0
561,0,0,0,0
562,0,0,0,0
563,1,1,1,0
564,1,0,0,0
565,0,0,0,0
566,0,0,0,0
567,1,0,0,1
568,1,1,0,1
569,0,0,0,0
570,1,0,0,0
571,0,0,0,0
572,1,0,0,0
573,0,0,0,0
574,0,0,0,0
575,0,0,0,0
576,0,0,0,0
577,0,0,0,0
578,0,0,0,0
579,0,0,0,0
580,0,0,0,0
581,0,0,0,0
582,0,0,0,0
583,0,0,0,0
584,0,0,0,0
585,1,0,0,0
586,0,0,0,0
587,0,0,0,0
588,0,0,0,0
589,0,0,0,0
590,1,0,0,0
591,0,0,0,0
592,0,0,0,0
593,0,0,0,0
594,0,0,0,0
595,1,1,0,1
596,0,0,0,0
597,0,0,0,0
598,0,0,0,0
599,0,0,0,0
600,0,0,0,0
601,0,0,0,0
602,0,0,1,0
603,0,0,0,0
604,0,0,0,0
605,1,0,0,0
606,0,0,0,0
607,0,0,0,0
608,1,0,0,0
609,0,0,0,0
610,0,0,0,0
611,1,0,0,1
612,0,1,0,0
613,0,0,0,0
614,0,0,1,0
615,0,0,0,0
616,0,0,1,0
617,0,0,0,0
618,0,0,0,0
619,0,0,1,0
620,0,0,0,0
621,0,0,0,0
622,0,0,0,0
623,0,0,0,0
624,0,0,0,0
625,1,0,0,0
626,0,0,0,0
627,1,0,0,0
628,0,0,0,0
629,1,0,0,0
630,1,0,0,0
631,0,0,0,0
632,0,1,0,0
633,0,0,0,0
634,0,0,0,0
635,0,0,0,0
636,0,0,0,0
637,0,0,0,0
638,0,0,0,0
639,0,0,0,0
640,0,0,0,0
641,0,0,0,0
642,0,0,0,0
643,0,0,0,0
644,1,1,0,1
645,0,0,0,0
646,0,0,0,0
647,0,0,0,0
648,0,0,0,0
649,0,0,0,0
650,0,0,0,0
651,0,0,0,0
652,0,0,0,0
653,0,0,0,0
654,0,0,0,0
655,0,0,0,0
656,0,0,0,0
657,0,0,0,0
658,0,0,1,0
659,0,0,0,0
660,0,0,0,0
661,0,0,0,0
662,0,0,0,0
663,0,0,0,0
664,0,0,1,0
665,0,0,0,0
666,0,0,0,0
667,0,0,0,0
668,1,0,0,0
669,0,0,0,0
670,0,0,0,1
671,0,0,0,0
672,0,0,0,0
673,0,0,0,0
674,1,0,0,0
675,0,1,0,0
676,1,0,0,0
677,0,0,0,0
678,1,0,0,0
679,0,0,0,0
680,0,0,0,0
681,0,0,1,0
682,0,0,0,0
683,1,1,1,0
684,1,0,0,0
685,0,0,0,0
686,0,0,0,0
687,0,0,0,0
688,1,0,0,0
689,0,0,0,0
690,0,0,0,0
691,0,0,0,0
692,0,0,0,0
693,0,0,0,0
694,1,0,1,0
695,0,0,0,0
696,0,0,0,0
697,0,0,0,0
698,0,0,0,0
699,0,0,0,0
700,1,0,0,1
701,0,0,0,0
702,1,0,1,1
703,0,0,0,0
704,0,0,0,0
705,0,0,0,0
706,0,0,0,0
707,0,0,0,0
708,0,0,0,0
709,0,0,0,0
710,0,0,0,0
711,0,0,0,0
712,0,0,0,0
713,0,0,0,0
714,0,0,0,0
715,1,0,0,0
716,0,0,0,0
717,0,0,0,0
718,0,0,0,0
719,0,0,0,1
720,0,0,0,0
721,0,0,0,0
722,1,0,0,0
723,0,0,0,0
724,0,0,0,0
725,0,0,0,0
726,1,0,0,0
727,0,0,0,0
728,0,0,0,0
729,0,0,0,0
730,1,1,0,1
731,0,0,0,0
732,1,0,0,0
733,0,0,0,0
734,0,0,0,0
735,0,0,0,0
736,0,1,0,0
737,0,0,0,0
738,0,0,0,0
739,0,0,0,0
740,0,0,0,0
741,0,0,0,0
742,1,1,0,1
743,0,0,1,0
744,0,0,0,0
745,0,0,0,0
746,0,0,0,0
747,0,0,0,0
748,0,0,0,0
749,1,0,0,0
750,0,0,0,0
751,0,0,0,0
752,0,0,0,0
753,0,0,0,0
754,0,0,0,0
755,0,0,0,0
756,0,0,0,0
757,0,0,0,0
758,0,0,0,0
759,1,0,0,0
760,0,0,1,0
761,1,1,1,1
762,0,0,0,0
763,0,0,0,0
764,0,0,0,0
765,0,0,0,0
766,0,0,0,0
767,0,0,0,0
768,0,0,0,0
769,0,0,0,0
770,1,1,1,0
771,0,0,0,0
772,0,0,0,0
773,0,0,0,0
774,0,0,0,0
775,0,0,0,0
776,0,0,0,0
777,0,0,0,0
778,0,0,0,0
779,1,0,0,0
780,0,0,0,0
781,1,0,0,0
782,0,0,1,0
783,0,0,0,0
784,0,0,0,0
785,0,0,0,0
786,0,0,1,0
787,0,0,0,0
788,0,0,0,0
789,1,0,1,0
790,0,0,0,0
791,0,0,0,0
792,0,0,0,0
793,1,0,0,0
794,0,0,0,0
795,0,0,0,0
796,0,0,0,0
797,0,0,0,0
798,0,1,0,0
799,1,1,1,1
800,1,0,0,0
801,0,0,0,0
802,0,0,0,0
803,1,0,0,0
804,1,0,0,0
805,0,0,0,0
806,0,0,0,0
807,0,0,0,0
808,0,0,0,0
809,0,0,0,0
810,0,0,0,0
811,0,0,0,0
812,0,0,0,0
813,0,0,0,0
814,0,0,0,0
815,0,0,0,0
816,0,0,0,0
817,1,0,0,0
818,0,0,0,0
819,0,0,0,0
820,0,0,0,0
821,0,0,0,0
822,0,0,0,0
823,0,0,0,0
824,1,0,0,0
825,0,0,0,0
826,0,0,0,0
827,0,0,0,0
828,1,0,0,0
829,0,0,0,0
830,1,0,0,0
831,0,0,0,0
832,0,0,0,0
833,0,0,0,0
834,0,0,0,0
835,0,0,0,0
836,1,1,0,1
837,1,0,0,0
838,0,0,0,0
839,1,0,0,0
840,0,0,0,0
841,0,0,0,0
842,0,0,0,0
843,0,0,0,0
844,1,0,0,0
845,0,0,0,0
846,0,0,0,0
847,0,0,0,0
848,0,0,0,0
849,0,0,0,0
850,1,0,0,0
851,0,0,1,0
852,1,0,0,0
853,0,0,0,0
854,0,0,0,0
855,0,0,0,0
856,0,0,0,0
857,0,0,0,0
858,1,1,1,1
859,0,0,0,0
860,0,0,0,0
861,0,0,0,0
862,0,0,0,0
863,0,0,0,0
864,0,0,0,0
865,1,0,0,0
866,0,0,0,0
867,0,0,0,0
868,0,0,0,0
869,0,0,0,0
870,0,0,0,0
871,0,0,0,0
872,0,0,0,0
873,0,0,0,0
874,1,0,0,0
875,0,0,0,0
876,0,0,0,0
877,0,0,0,0
878,0,0,0,0
879,0,0,0,0
880,0,0,0,0
881,0,0,0,0
882,0,0,0,0
883,0,0,0,0
884,0,0,0,0
885,0,0,0,0
886,0,0,0,0
887,0,0,0,0
888,0,0,0,0
889,0,0,1,0
890,0,0,0,0
891,0,0,0,0
892,0,0,0,0
893,0,0,0,0
894,0,0,0,0
895,1,0,0,0
896,0,0,0,0
897,0,0,0,0
898,0,0,0,0
899,0,0,0,0
900,0,0,0,0
901,0,0,0,0
902,0,0,0,0
903,0,0,0,0
904,0,0,0,0
905,0,0,0,0
906,0,0,0,0
907,0,0,0,0
908,0,0,0,0
909,0,0,0,0
910,1,1,0,0
911,0,0,0,0
912,1,0,0,0
913,0,0,0,0
914,0,0,0,0
915,0,0,0,0
916,0,0,0,0
917,1,0,0,1
918,0,0,0,0
919,0,0,0,0
920,0,0,0,0
921,0,0,0,0
922,0,0,1,0
923,1,0,0,0
924,0,0,0,0
925,1,0,0,1
926,0,0,0,0
927,0,0,0,0
928,0,0,0,0
929,0,0,1,0
930,0,0,0,0
931,0,0,0,0
932,1,0,0,0
933,0,0,0,0
934,0,0,0,0
935,0,0,0,0
936,0,0,0,0
937,0,0,0,0
938,0,0,0,0
939,0,0,0,0
940,0,0,0,0
941,0,0,0,0
942,0,0,0,0
943,0,0,0,0
944,0,0,1,0
945,0,0,0,0
946,0,0,0,0
947,0,0,0,0
948,1,0,0,0
949,0,0,0,0
950,0,0,0,0
951,1,0,0,0
952,0,0,0,0
953,0,0,0,0
954,0,0,0,0
955,0,0,0,0
956,0,0,1,0
957,0,0,0,0
958,0,0,0,0
959,0,0,0,0
960,0,0,0,0
961,0,0,0,0
962,0,0,0,0
963,0,0,0,0
964,0,0,0,0
965,0,0,0,0
966,0,0,0,0
967,1,1,0,0
968,1,1,0,0
969,0,0,0,0
970,0,0,0,0
971,0,0,0,0
972,0,0,0,0
973,0,0,0,0
974,1,0,0,0
975,0,0,0,0
976,0,0,1,0
977,0,0,0,0
978,0,0,0,0
979,0,0,0,0
980,0,0,0,0
981,0,0,0,0
982,1,0,0,0
983,1,0,0,0
984,0,0,0,0
985,0,0,0,0
986,0,0,0,0
987,0,0,0,0
988,0,0,0,0
989,1,0,0,0
990,0,0,0,0
991,0,0,0,0
992,0,0,0,0
993,0,0,0,0
994,0,0,0,0
995,1,1,0,0
996,0,0,0,0
997,0,0,0,0
998,0,0,0,0
999,1,0,0,0
1000,0,0,0,0
1001,0,0,0,0
1002,0,0,0,0
1003,0,0,0,0
1004,0,0,0,0
1005,0,0,0,0
1006,0,0,0,0
1007,1,0,0,0
1008,1,0,0,0
1009,0,0,0,0
1010,1,1,0,0
1011,0,0,0,0
1012,0,0,0,0
1013,1,0,0,0
1014,1,0,0,0
1015,0,0,0,0
1016,0,1,0,0
1017,0,0,0,0
1018,0,0,0,0
1019,0,0,0,0
1020,0,0,0,0
1021,0,0,0,0
1022,0,0,0,0
1023,0,0,0,0
1024,0,0,0,0
1025,0,0,0,0
1026,1,1,1,0
1027,0,0,0,0
1028,0,0,0,0
1029,0,0,0,0
1030,0,0,1,0
1031,1,0,0,0
1032,1,0,0,0
1033,0,0,0,0
1034,0,0,0,0
1035,1,0,0,0
1036,0,0,0,0
1037,0,0,0,0
1038,0,0,0,0
1039,0,0,0,0
1040,0,0,0,0
1041,0,0,0,0
1042,0,0,0,0
1043,0,0,0,0
1044,0,0,0,0
1045,0,0,0,0
1046,0,0,0,0
1047,0,0,0,0
1048,0,0,0,0
1049,0,0,0,0
1050,0,0,0,0
1051,0,0,0,0
1052,0,0,0,0
1053,0,0,0,0
1054,0,0,0,0
1055,0,0,0,0
1056,0,0,0,0
1057,0,0,1,0
1058,0,0,0,0
1059,0,0,0,0
1060,0,0,0,0
1061,0,0,0,0
1062,0,0,0,0
1063,1,1,1,0
1064,0,0,0,0
1065,1,1,0,1
1066,0,0,0,0
1067,0,0,0,0
1068,1,0,0,0
1069,0,0,0,0
1070,0,0,0,0
1071,0,0,0,0
1072,0,0,0,0
1073,0,0,1,0
1074,0,0,0,0
1075,0,0,0,0
1076,1,0,0,0
1077,0,0,0,0
1078,0,0,0,0
1079,0,0,0,0
1080,1,1,0,0
1081,0,0,0,0
1082,0,0,0,0
1083,1,0,0,0
1084,0,0,0,0
1085,0,0,0,0
1086,1,1,0,0
1087,0,0,0,0
1088,0,0,0,0
1089,0,0,0,0
1090,0,0,0,0
1091,1,1,0,0
1092,0,0,0,0
1093,0,0,0,0
1094,0,0,0,0
1095,0,0,0,0
1096,0,0,0,0
1097,0,0,0,0
1098,0,0,0,0
1099,0,0,0,0
1100,0,0,0,0
1101,0,0,0,0
1102,0,0,0,0
1103,0,0,0,0
1104,1,0,0,0
1105,1,1,1,0
1106,0,0,0,0
1107,0,0,0,0
1108,0,0,0,0
1109,0,0,0,0
1110,0,0,0,0
1111,0,0,0,0
1112,0,0,0,0
1113,0,0,0,0
1114,0,0,0,0
1115,1,0,0,0
1116,0,0,0,0
1117,1,0,1,0
1118,1,0,0,0
1119,0,0,0,0
1120,0,0,0,0
1121,0,0,0,0
1122,1,0,0,0
1123,0,0,0,0
1124,0,0,0,0
1125,0,0,0,0
1126,0,0,1,0
1127,0,0,0,0
1128,0,0,0,0
1129,0,0,0,0
1130,1,0,0,0
1131,1,0,0,0
1132,0,0,0,0
1133,0,0,0,0
1134,0,0,0,0
1135,0,0,0,0
1136,1,1,0,0
1137,0,0,0,0
1138,0,0,0,0
1139,0,0,0,0
1140,1,0,0,1
1141,0,0,0,0
1142,0,0,0,0
1143,0,0,0,0
1144,0,0,0,0
1145,1,1,0,0
1146,1,0,0,0
1147,1,0,0,0
1148,1,1,1,1
1149,0,0,0,0
1150,0,0,0,0
1151,0,0,0,0
1152,1,0,0,0
1153,0,0,1,0
1154,0,0,0,0
1155,1,1,0,1
1156,0,0,0,0
1157,0,0,0,0
1158,0,0,0,0
1159,0,0,0,0
1160,0,0,0,0
1161,1,0,0,0
1162,0,0,0,0
1163,0,0,0,0
1164,0,0,0,0
1165,0,0,0,0
1166,0,0,0,0
1167,1,1,0,1
1168,0,0,0,0
1169,0,0,1,0
1170,0,0,0,0
1171,0,0,0,0
1172,0,0,0,0
1173,0,0,0,0
1174,0,0,0,0
1175,0,0,0,0
1176,0,0,0,0
1177,0,0,0,0
1178,0,0,0,0
1179,0,0,0,0
1180,0,0,0,0
1181,0,0,0,0
1182,1,0,0,0
1183,0,0,0,0
1184,1,0,0,0
1185,0,0,0,0
1186,0,0,0,0
1187,0,0,0,0
1188,0,0,0,0
1189,0,0,0,0
1190,0,0,0,0
1191,0,0,0,0
1192,0,0,0,0
1193,0,0,0,0
1194,0,0,0,0
1195,0,0,0,0
1196,0,0,0,0
1197,0,0,0,0
1198,1,1,0,0
1199,0,0,0,0
1200,1,0,0,0
1201,0,0,0,0
1202,0,0,0,0
1203,0,0,0,0
1204,0,0,0,0
1205,0,0,0,0
1206,1,0,0,0
1207,0,0,0,0
1208,0,0,0,0
1209,0,0,0,0
1210,0,0,0,0
1211,0,0,0,0
1212,0,0,1,0
1213,0,0,0,0
1214,0,0,0,0
1215,0,0,0,0
1216,0,0,0,0
1217,0,0,0,0
1218,0,0,0,0
1219,0,0,0,0
1220,0,0,0,0
1221,0,0,0,0
1222,0,0,0,0
1223,0,0,0,0
1224,0,0,0,0
1225,0,0,0,0
1226,0,0,0,0
1227,0,0,0,0
1228,0,0,0,0
1229,0,0,0,0
1230,0,0,0,0
1231,0,0,0,0
1232,0,0,0,0
1233,0,0,0,0
1234,0,0,0,0
1235,0,0,0,0
1236,0,0,1,0
1237,0,0,0,0
1238,0,0,0,0
1239,1,0,1,1
1240,0,0,0,0
1241,0,0,0,0
1242,0,0,0,0
1243,0,0,0,0
1244,0,0,0,0
1245,0,0,0,0
1246,1,0,0,0
1247,0,0,0,0
1248,0,0,1,0
1249,0,0,0,0
1250,0,0,0,0
1251,0,0,0,0
1252,0,0,0,0
1253,0,0,0,0
1254,0,0,0,0
1255,0,0,0,0
1256,0,0,0,0
1257,1,0,0,0
1258,0,0,0,0
1259,1,1,0,1
1260,1,1,0,0
1261,0,0,0,0
1262,0,0,0,0
1263,0,0,0,0
1264,1,1,0,0
1265,0,0,0,0
1266,0,0,0,0
1267,1,1,0,0
1268,1,0,0,1
1269,1,0,0,0
1270,0,0,0,0
1271,0,0,0,0
1272,0,0,0,0
1273,0,0,0,0
1274,0,0,0,0
1275,0,0,0,0
1276,0,0,0,0
1277,0,0,0,0
1278,0,0,0,0
1279,0,0,0,0
1280,0,0,0,0
1281,0,0,0,0
1282,0,0,0,0
1283,0,0,0,0
1284,0,0,0,0
1285,0,0,0,0
1286,0,0,0,0
1287,0,0,0,0
1288,0,0,0,0
1289,0,0,0,0
1290,0,0,0,0
1291,0,0,0,0
1292,0,0,0,0
1293,0,0,0,0
1294,0,0,0,0
1295,0,0,0,0
1296,0,0,0,0
1297,0,0,1,0
1298,0,0,0,0
1299,0,0,0,0
1300,1,0,0,0
1301,0,0,0,0
1302,0,0,0,0
1303,0,0,0,0
1304,0,0,0,0
1305,0,0,0,0
1306,1,0,0,0
1307,0,1,0,0
1308,0,0,0,0
1309,1,0,0,0
1310,0,0,0,0
1311,0,0,1,0
1312,0,0,1,0
1313,0,0,0,0
1314,0,0,1,0
1315,0,0,0,0
1316,0,0,0,0
1317,0,0,0,0
1318,0,0,0,0
1319,0,0,0,0
1320,0,0,0,0
1321,0,0,0,0
1322,0,0,0,0
1323,0,0,0,0
1324,0,0,0,0
1325,0,0,0,0
1326,0,0,0,0
1327,0,0,0,0
1328,0,0,0,0
1329,0,0,0,0
1330,1,0,0,0
1331,0,0,0,0
1332,1,0,0,0
1333,0,0,0,0
1334,0,0,0,0
1335,0,0,0,0
1336,1,0,0,0
1337,0,0,0,0
1338,1,1,0,0
1339,0,0,0,0
1340,0,0,0,0
1341,0,0,0,0
1342,0,0,0,0
1343,0,0,0,0
1344,1,0,0,0
1345,0,0,0,0
1346,0,0,0,0
1347,0,0,0,0
1348,0,0,0,0
1349,0,0,0,0
1350,0,0,0,0
1351,1,0,0,0
1352,0,0,0,0
1353,0,0,0,0
1354,1,0,0,0
1355,1,0,0,0
1356,0,0,0,0
1357,1,0,0,0
1358,0,0,0,0
